feature	ham_probability	spam_probability
xevodxv	2.1876328303309168e-07	5.541173132846301e-07
ppc	6.56289849099275e-07	2.7705865664231505e-07
mmpta	8.750531321323667e-07	2.7705865664231505e-07
24768120	2.1876328303309168e-07	5.541173132846301e-07
llhav	2.1876328303309168e-07	8.311759699269452e-07
enable	2.5814067397904817e-05	0.00011082346265692603
9823	4.3752656606618335e-07	2.7705865664231505e-07
ggke	2.1876328303309168e-07	5.541173132846301e-07
tolerancy	2.1876328303309168e-07	2.4935279097808355e-06
koos	2.1876328303309168e-07	3.0476452230654656e-06
bdzabde	2.1876328303309168e-07	5.541173132846301e-07
6933	2.1876328303309168e-07	8.311759699269452e-07
swissbank	1.5313429812316417e-06	2.7705865664231505e-07
hofgeest	2.1876328303309168e-07	5.541173132846301e-07
yard	6.7816617740258415e-06	1.4961167458685014e-05
8998	4.3752656606618335e-07	2.7705865664231505e-07
1439	4.3752656606618335e-07	5.541173132846301e-07
uploads	2.1876328303309168e-07	1.1082346265692602e-06
someplace	1.31257969819855e-06	2.2164692531385204e-06
6565	2.1876328303309168e-07	5.541173132846301e-07
pi	1.31257969819855e-06	2.9368217604085396e-05
maser	2.1876328303309168e-07	8.311759699269452e-07
kaput	4.3752656606618335e-07	2.7705865664231505e-07
icensing	2.1876328303309168e-07	2.4935279097808355e-06
itwill	2.1876328303309168e-07	5.541173132846301e-07
hosojuvipan	2.1876328303309168e-07	5.541173132846301e-07
hj	2.1876328303309168e-07	3.6017625363500957e-06
fwu	2.1876328303309168e-07	8.311759699269452e-07
marjory	2.1876328303309168e-07	3.0476452230654656e-06
grimm	6.56289849099275e-07	1.3852932832115753e-06
committeemen	2.1876328303309168e-07	9.697052982481026e-06
afont	2.1876328303309168e-07	1.9394105964962054e-06
worsens	3.500212528529467e-06	2.7705865664231505e-07
auditing	9.18805788738985e-06	9.142935669196397e-06
cicchetti	8.750531321323667e-07	2.7705865664231505e-07
thuirsday	4.3752656606618335e-07	2.7705865664231505e-07
cemfi	4.3752656606618335e-07	2.7705865664231505e-07
xjbcg	2.1876328303309168e-07	5.541173132846301e-07
botros	6.56289849099275e-07	2.7705865664231505e-07
vkwamuslt	2.1876328303309168e-07	5.541173132846301e-07
alitalia	6.56289849099275e-07	2.7705865664231505e-07
retaivl	2.1876328303309168e-07	5.541173132846301e-07
chiny	2.1876328303309168e-07	5.541173132846301e-07
rozhdestvenskoe	2.1876328303309168e-07	5.541173132846301e-07
davidyi	4.3752656606618335e-07	2.7705865664231505e-07
sexta	2.1876328303309168e-07	2.2164692531385204e-06
must	0.00024282724416673174	0.0004618567806227392
bdekhx	2.1876328303309168e-07	5.541173132846301e-07
lhmepa	2.1876328303309168e-07	5.541173132846301e-07
wlaggra	2.1876328303309168e-07	1.1082346265692602e-06
monax	2.1876328303309168e-07	8.311759699269452e-07
degenhardt	4.3752656606618335e-07	2.7705865664231505e-07
lassen	1.31257969819855e-06	5.264114476203986e-06
perplexes	2.1876328303309168e-07	5.541173132846301e-07
fileplan	1.5313429812316417e-06	2.7705865664231505e-07
sagging	1.7501062642647334e-06	1.1082346265692602e-06
islandnorthern	2.1876328303309168e-07	8.311759699269452e-07
bfn	2.1876328303309168e-07	5.541173132846301e-07
couvillan	4.3752656606618335e-07	2.7705865664231505e-07
tov	2.1876328303309168e-07	5.541173132846301e-07
3609	6.56289849099275e-07	2.7705865664231505e-07
mccartybtox	2.1876328303309168e-07	5.541173132846301e-07
8386	2.1876328303309168e-07	5.541173132846301e-07
designpolo	2.1876328303309168e-07	5.541173132846301e-07
fitts	4.3752656606618335e-07	2.7705865664231505e-07
bicho	2.1876328303309168e-07	5.541173132846301e-07
namely	3.718975811562558e-06	6.926466416057877e-06
loclek	2.1876328303309168e-07	5.541173132846301e-07
ssk	2.1876328303309168e-07	5.541173132846301e-07
extranet	2.1876328303309168e-07	1.9394105964962054e-06
xenograft	2.1876328303309168e-07	1.6623519398538903e-06
goshawk	2.1876328303309168e-07	1.1082346265692602e-06
bkpmfqm	2.1876328303309168e-07	5.541173132846301e-07
ambac	1.0938164151654583e-06	2.7705865664231505e-07
4881	1.31257969819855e-06	2.7705865664231505e-07
8944318	2.1876328303309166e-06	2.7705865664231505e-07
smokey	8.750531321323667e-07	2.7705865664231505e-07
cheshunt	2.1876328303309168e-07	5.541173132846301e-07
transposed	2.1876328303309168e-07	5.541173132846301e-07
opm	9.18805788738985e-06	2.7705865664231505e-07
tmbreeze	4.3752656606618335e-07	2.7705865664231505e-07
ary	2.1876328303309168e-07	1.1082346265692602e-06
adjusted	2.5595304114871725e-05	1.1082346265692602e-06
ragingbull	2.1876328303309168e-07	5.541173132846301e-07
unexample	2.1876328303309168e-07	8.311759699269452e-07
hvhob	2.1876328303309168e-07	5.541173132846301e-07
strela	2.1876328303309168e-07	5.541173132846301e-07
qsubbavb	2.1876328303309168e-07	8.311759699269452e-07
agropecuarias	2.1876328303309168e-07	5.541173132846301e-07
petzel	4.3752656606618335e-07	2.7705865664231505e-07
overcoming	2.1876328303309166e-06	5.541173132846301e-07
inexpensive	3.281449245496375e-06	4.432938506277041e-05
ghzht	2.1876328303309168e-07	5.541173132846301e-07
maggy	8.750531321323667e-07	5.541173132846301e-07
testimonials	2.1876328303309168e-07	2.4935279097808356e-05
imokawa	1.0938164151654583e-06	2.7705865664231505e-07
6752	4.3752656606618335e-07	2.7705865664231505e-07
fjmokq	2.1876328303309168e-07	5.541173132846301e-07
businessnet	2.1876328303309168e-07	1.1082346265692602e-06
garantis	2.1876328303309168e-07	8.311759699269452e-07
souhaite	2.1876328303309168e-07	1.1082346265692602e-06
kresge	2.1876328303309168e-07	1.9394105964962054e-06
colins	2.1876328303309168e-07	8.311759699269452e-07
ribbonfish	2.1876328303309168e-07	2.2164692531385204e-06
ampatin	2.1876328303309168e-07	8.311759699269452e-07
ghills	4.3752656606618335e-07	2.7705865664231505e-07
unicamente	2.1876328303309168e-07	1.1082346265692602e-06
ayant	2.1876328303309168e-07	5.541173132846301e-07
mensimpotenceissue	2.1876328303309168e-07	8.311759699269452e-07
llihofn	2.1876328303309168e-07	5.541173132846301e-07
uww	2.1876328303309168e-07	5.541173132846301e-07
autorisation	2.1876328303309168e-07	2.2164692531385204e-06
misconceptions	4.3752656606618335e-07	2.7705865664231505e-07
stabs	2.1876328303309168e-07	8.311759699269452e-07
gfbngismk	2.1876328303309168e-07	5.541173132846301e-07
nox	5.2503187927942e-06	1.1082346265692602e-06
eventuality	8.750531321323667e-07	2.7705865664231505e-07
marketspeak	6.56289849099275e-07	2.7705865664231505e-07
6502	6.56289849099275e-07	2.7705865664231505e-07
verzekeringfonds	2.1876328303309168e-07	5.541173132846301e-07
claviceps	2.1876328303309168e-07	5.541173132846301e-07
33161186544333222	2.1876328303309168e-07	8.311759699269452e-07
opb	2.1876328303309168e-07	5.541173132846301e-07
photic	2.1876328303309168e-07	5.541173132846301e-07
waistbelt	2.1876328303309168e-07	5.541173132846301e-07
hangable	2.1876328303309168e-07	2.4935279097808355e-06
mouthes	2.1876328303309168e-07	8.311759699269452e-07
ocassionally	4.3752656606618335e-07	2.7705865664231505e-07
parleys	8.750531321323667e-07	2.7705865664231505e-07
20706	2.1876328303309168e-07	5.541173132846301e-07
administrativo	2.1876328303309168e-07	1.9394105964962054e-06
wyyxkya	2.1876328303309168e-07	8.311759699269452e-07
impending	4.156502377628742e-06	3.878821192992411e-06
nov	0.00027498544677259624	1.634646074189659e-05
neevr	2.1876328303309168e-07	8.311759699269452e-07
fromdigital	2.1876328303309168e-07	5.541173132846301e-07
1716	4.3752656606618335e-07	2.7705865664231505e-07
specializing	3.281449245496375e-06	7.480583729342507e-06
cwco	4.3752656606618335e-07	1.1082346265692602e-06
yqddt	2.1876328303309168e-07	5.541173132846301e-07
ragan	8.750531321323667e-07	2.7705865664231505e-07
oqweirpia	2.1876328303309168e-07	1.1082346265692602e-06
senft	2.8439226794301917e-06	2.7705865664231505e-07
nia	1.7501062642647334e-06	2.7705865664231505e-07
aggregators	4.375265660661833e-06	2.7705865664231505e-07
humancode	4.3752656606618335e-07	2.7705865664231505e-07
ction	2.1876328303309168e-07	2.2164692531385204e-06
ularanpj	2.1876328303309168e-07	5.541173132846301e-07
dgs	2.1876328303309168e-07	5.541173132846301e-07
prohibitive	1.5313429812316417e-06	3.0476452230654656e-06
scanned	3.0626859624632834e-06	7.203525072700191e-06
professionaloval	2.1876328303309168e-07	5.541173132846301e-07
sonesta	4.3752656606618335e-07	5.541173132846301e-07
keeshond	2.1876328303309168e-07	1.3852932832115753e-06
mendez	2.1876328303309168e-07	8.311759699269452e-07
hoarse	2.1876328303309168e-07	3.0476452230654656e-06
dickhead	2.1876328303309168e-07	1.6623519398538903e-06
dashs	1.31257969819855e-06	2.7705865664231505e-07
smokeless	2.1876328303309168e-07	5.541173132846301e-07
collidebiometry	2.1876328303309168e-07	5.541173132846301e-07
conocido	2.1876328303309168e-07	1.6623519398538903e-06
utopian	4.3752656606618335e-07	8.311759699269452e-07
eeserv	2.1876328303309168e-07	5.541173132846301e-07
espirito	6.56289849099275e-07	8.311759699269452e-07
portugues	2.1876328303309168e-07	5.541173132846301e-07
itn	2.1876328303309168e-07	5.541173132846301e-07
sibblings	2.1876328303309168e-07	5.541173132846301e-07
5058	2.1876328303309168e-07	5.541173132846301e-07
rep	2.472025098273936e-05	1.9671164621604368e-05
frimorfo	2.1876328303309168e-07	5.541173132846301e-07
pqajkl	2.1876328303309168e-07	8.311759699269452e-07
1508	4.3752656606618335e-07	2.7705865664231505e-07
byparticipants	2.1876328303309168e-07	5.541173132846301e-07
xbswvyh	2.1876328303309168e-07	8.311759699269452e-07
dint	2.1876328303309168e-07	1.3852932832115753e-06
pullicino	1.31257969819855e-06	2.7705865664231505e-07
handat	2.1876328303309168e-07	5.541173132846301e-07
algn	2.1876328303309168e-07	8.311759699269452e-07
wuitqba	2.1876328303309168e-07	5.541173132846301e-07
orthonormalpunish	2.1876328303309168e-07	5.541173132846301e-07
basvuru	2.1876328303309168e-07	5.541173132846301e-07
mcidsbvto	2.1876328303309168e-07	5.541173132846301e-07
snore	2.1876328303309168e-07	1.1082346265692602e-06
programma	2.1876328303309168e-07	5.541173132846301e-07
kathie	4.375265660661833e-06	2.7705865664231505e-07
2364	8.750531321323667e-07	2.7705865664231505e-07
aspbr	2.1876328303309168e-07	2.7705865664231505e-06
8024	1.5313429812316417e-06	5.541173132846301e-07
gullibility	4.3752656606618335e-07	2.7705865664231505e-07
puppet	2.1876328303309168e-07	2.4935279097808355e-06
jiyeon	4.3752656606618335e-07	2.7705865664231505e-07
873	2.6251593963971e-06	2.4935279097808355e-06
yarrow	2.1876328303309168e-07	1.9394105964962054e-06
metallurgic	2.1876328303309168e-07	1.9394105964962054e-06
8774937918	6.56289849099275e-07	2.7705865664231505e-07
proyectos	2.1876328303309168e-07	1.9394105964962054e-06
ufwgl	2.1876328303309168e-07	8.311759699269452e-07
insolvent	4.594028943694925e-06	1.6623519398538903e-06
tonsillitis	2.1876328303309168e-07	1.3852932832115753e-06
qiud	2.1876328303309168e-07	5.541173132846301e-07
271753	6.56289849099275e-07	2.7705865664231505e-07
ones	4.440894645571761e-05	6.0675845804667e-05
wiesenthal	2.1876328303309168e-07	8.311759699269452e-07
marvelously	2.1876328303309168e-07	2.4935279097808355e-06
seif	2.1876328303309168e-07	5.541173132846301e-07
way	0.00039268009304439957	0.0005685243634300305
vinetka	2.1876328303309168e-07	5.541173132846301e-07
erotic	2.1876328303309168e-07	1.0528228952407973e-05
rities	2.1876328303309168e-07	3.3247038797077806e-06
shrewmouse	2.1876328303309168e-07	5.541173132846301e-07
percocet	2.1876328303309168e-07	1.1082346265692602e-06
ktl	2.1876328303309168e-07	5.541173132846301e-07
dtvvcr	2.1876328303309168e-07	5.541173132846301e-07
laufende	2.1876328303309168e-07	1.1082346265692602e-06
osyomln	2.1876328303309168e-07	5.541173132846301e-07
fanatic	2.1876328303309168e-07	2.4935279097808355e-06
culo	2.1876328303309168e-07	1.6623519398538903e-06
foreingers	4.3752656606618335e-07	2.7705865664231505e-07
lenerose	4.3752656606618335e-07	2.7705865664231505e-07
brutal	2.8439226794301917e-06	8.034701042627137e-06
canterburyrhesus	2.1876328303309168e-07	5.541173132846301e-07
204537903548909445	2.1876328303309168e-07	5.541173132846301e-07
naomiscarlett	2.1876328303309168e-07	5.541173132846301e-07
macdonalds	2.1876328303309168e-07	5.541173132846301e-07
lobjxndfe	2.1876328303309168e-07	5.541173132846301e-07
relentlessly	1.31257969819855e-06	2.7705865664231505e-07
evpukym	2.1876328303309168e-07	5.541173132846301e-07
colby	4.3752656606618335e-07	3.0476452230654656e-06
vmzeh	2.1876328303309168e-07	5.541173132846301e-07
outdone	2.1876328303309168e-07	5.541173132846301e-07
heckle	2.1876328303309168e-07	1.1082346265692602e-06
bicameral	2.1876328303309168e-07	2.4935279097808355e-06
90528544	2.1876328303309168e-07	1.3852932832115753e-06
sonesson	4.3752656606618335e-07	2.7705865664231505e-07
5899	2.1876328303309168e-07	5.541173132846301e-07
sitesdrawn	2.1876328303309168e-07	5.541173132846301e-07
gtqfgafm	2.1876328303309168e-07	5.541173132846301e-07
lkldqlinjbs	2.1876328303309168e-07	5.541173132846301e-07
seismic	3.93773909459565e-06	7.757642385984821e-06
wcer	2.1876328303309168e-07	5.541173132846301e-07
characterized	5.469082075827291e-06	5.541173132846301e-07
tastyllemo	2.1876328303309168e-07	1.1082346265692602e-06
cravens	4.3752656606618335e-07	2.7705865664231505e-07
elethe	4.3752656606618335e-07	2.7705865664231505e-07
msgid	2.1876328303309168e-07	8.311759699269452e-07
idacorp	1.5313429812316417e-06	2.7705865664231505e-07
pixel	2.1876328303309168e-07	5.541173132846301e-06
savvis	6.56289849099275e-07	2.7705865664231505e-07
enlargenewly	2.1876328303309168e-07	5.541173132846301e-07
venturesome	2.1876328303309168e-07	1.3852932832115753e-06
svbanaqe	2.1876328303309168e-07	5.541173132846301e-07
aldr	2.1876328303309168e-07	1.9394105964962054e-06
axa	8.750531321323667e-07	5.541173132846301e-07
levering	1.7501062642647334e-06	2.7705865664231505e-07
dol	4.3752656606618335e-07	4.432938506277041e-06
directora	2.1876328303309168e-07	8.311759699269452e-07
litigious	6.56289849099275e-07	2.2164692531385204e-06
careerbuilder	2.1876328303309168e-07	1.3852932832115753e-06
relocatable	2.1876328303309168e-07	1.1082346265692602e-06
htmlview	2.1876328303309168e-07	3.0476452230654656e-06
lightsourceonline	4.3752656606618335e-07	2.7705865664231505e-07
meawuvlsa	2.1876328303309168e-07	5.541173132846301e-07
bzgulb	2.1876328303309168e-07	8.311759699269452e-07
amro	9.844347736489125e-06	2.7705865664231505e-06
harvesting	1.5313429812316417e-06	2.4935279097808355e-06
groat	2.1876328303309168e-07	2.4935279097808355e-06
ricoy	2.1876328303309168e-07	5.541173132846301e-07
elol	3.0626859624632834e-06	2.7705865664231505e-07
seresh	1.31257969819855e-06	2.7705865664231505e-07
tcgi	4.3752656606618335e-07	2.7705865664231505e-07
comingupthebest	2.1876328303309168e-07	1.6623519398538903e-06
operatlng	2.1876328303309168e-07	8.311759699269452e-07
antonia	2.1876328303309168e-07	1.1082346265692602e-06
yaw	2.1876328303309168e-07	5.541173132846301e-07
pharmacybymail	2.1876328303309168e-07	4.709997162919356e-06
rfrancis	4.3752656606618335e-07	2.7705865664231505e-07
ilinois	2.1876328303309168e-07	5.541173132846301e-07
jeopordize	6.56289849099275e-07	2.7705865664231505e-07
helvetian	2.1876328303309168e-07	5.541173132846301e-07
phase	0.0001314767331028881	1.800881268175048e-05
coastso	6.56289849099275e-07	2.7705865664231505e-07
xmsygq	2.1876328303309168e-07	5.541173132846301e-07
xzcu	2.1876328303309168e-07	8.311759699269452e-07
nawfcr	2.1876328303309168e-07	5.541173132846301e-07
leeway	8.750531321323667e-07	1.3852932832115753e-06
ompliance	2.1876328303309168e-07	5.541173132846301e-07
udosankho	2.1876328303309168e-07	5.541173132846301e-07
ugochukwu	2.1876328303309168e-07	8.311759699269452e-07
done	0.0002962054852268061	0.0001401916802610114
96002201	4.3752656606618335e-07	2.7705865664231505e-07
490	4.156502377628742e-06	6.649407759415561e-06
ardour	2.1876328303309168e-07	5.541173132846301e-07
ciaqlis	2.1876328303309168e-07	5.541173132846301e-07
ezvtyusk	2.1876328303309168e-07	5.541173132846301e-07
exponentiate	2.1876328303309168e-07	1.6623519398538903e-06
matchable	2.1876328303309168e-07	5.541173132846301e-07
inteligentemente	2.1876328303309168e-07	5.541173132846301e-07
usecase	8.750531321323667e-07	2.7705865664231505e-07
intreseted	2.1876328303309168e-07	3.878821192992411e-06
languagerob	2.1876328303309168e-07	5.541173132846301e-07
backbones	6.56289849099275e-07	2.7705865664231505e-07
icker	2.1876328303309168e-07	8.311759699269452e-07
partout	2.1876328303309168e-07	1.6623519398538903e-06
greenbacks	2.1876328303309168e-07	1.6623519398538903e-06
exhaustive	4.156502377628742e-06	1.6623519398538903e-06
2739	4.3752656606618335e-07	2.7705865664231505e-07
uptake	4.3752656606618335e-07	1.6623519398538903e-06
yawoourwayr	2.1876328303309168e-07	5.541173132846301e-07
hugghins	4.3752656606618335e-07	2.7705865664231505e-07
keying	4.3752656606618335e-07	2.7705865664231505e-07
nologies	2.1876328303309168e-07	1.6623519398538903e-06
portuguesa	2.1876328303309168e-07	5.541173132846301e-07
intermittently	8.750531321323667e-07	2.7705865664231505e-07
impulse	8.750531321323667e-07	3.0476452230654656e-06
dayhellod	2.1876328303309168e-07	5.541173132846301e-07
geschickt	2.1876328303309168e-07	8.311759699269452e-07
edns	2.1876328303309168e-07	5.541173132846301e-07
taverna	2.1876328303309168e-07	8.311759699269452e-07
whp	2.1876328303309168e-07	8.311759699269452e-07
bkopsxpuh	2.1876328303309168e-07	8.311759699269452e-07
togeter	4.3752656606618335e-07	2.7705865664231505e-07
sibilant	2.1876328303309168e-07	1.6623519398538903e-06
productssearch	2.1876328303309168e-07	5.541173132846301e-07
nteharrahmeti	2.1876328303309168e-07	8.311759699269452e-07
thousa	2.1876328303309168e-07	2.7705865664231505e-06
liters	2.1876328303309168e-07	5.541173132846301e-07
priviledge	2.1876328303309168e-07	8.311759699269452e-07
penance	2.1876328303309168e-07	1.9394105964962054e-06
jycyapuj	2.1876328303309168e-07	5.541173132846301e-07
000000000012741	4.3752656606618335e-07	2.7705865664231505e-07
swank	8.750531321323667e-07	5.541173132846301e-07
absorbowac	4.3752656606618335e-07	2.7705865664231505e-07
louisville	4.3752656606618335e-07	1.9394105964962054e-06
spikes	2.1220038454209892e-05	2.4935279097808355e-06
detonator	2.1876328303309168e-07	5.541173132846301e-07
margaret	4.6815342569081614e-05	2.7705865664231505e-06
vetting	2.1876328303309168e-07	1.9394105964962054e-06
frette	2.1876328303309168e-07	5.541173132846301e-07
ashlea	4.3752656606618335e-07	2.7705865664231505e-07
timeframes	1.968869547297825e-06	2.7705865664231505e-07
huha	2.1876328303309168e-07	5.541173132846301e-07
factoid	4.3752656606618335e-07	2.7705865664231505e-07
boisblanc	6.56289849099275e-07	2.7705865664231505e-07
fgjxvalsn	2.1876328303309168e-07	5.541173132846301e-07
4944	6.56289849099275e-07	2.7705865664231505e-07
leafs	8.750531321323667e-07	2.7705865664231505e-07
searchengine	2.1876328303309168e-07	1.1082346265692602e-06
cerulli	4.3752656606618335e-07	2.7705865664231505e-07
3284	2.1876328303309168e-07	5.541173132846301e-07
iunc	2.1876328303309168e-07	5.541173132846301e-07
oj	2.1876328303309168e-07	3.0476452230654656e-06
fitness	2.4063961133640083e-06	1.6623519398538905e-05
telefnica	2.1876328303309168e-07	5.541173132846301e-07
wmstagel	2.1876328303309168e-07	8.311759699269452e-07
gkkmw	2.1876328303309168e-07	5.541173132846301e-07
sdg	7.000425057058934e-06	2.7705865664231505e-07
hand	6.978548728755624e-05	0.00013658991772466132
meets	1.4000850114117867e-05	1.3575874175473438e-05
skiil	2.1876328303309168e-07	1.3852932832115753e-06
cervantes	4.3752656606618335e-07	3.3247038797077806e-06
1299	1.0938164151654583e-06	1.1082346265692602e-06
khordokovsky	2.1876328303309168e-07	5.541173132846301e-07
holmium	2.1876328303309168e-07	1.9394105964962054e-06
unhindered	4.3752656606618335e-07	2.7705865664231505e-07
gcos	2.1876328303309168e-07	1.3852932832115753e-06
insufficient	7.219188340092025e-06	6.095290446130931e-06
bzihpw	2.1876328303309168e-07	8.311759699269452e-07
scotsmen	2.1876328303309168e-07	8.311759699269452e-07
uhb	2.1876328303309168e-07	5.541173132846301e-07
olmasi	2.1876328303309168e-07	8.311759699269452e-07
elantec	8.750531321323667e-07	2.7705865664231505e-07
warmonger	2.1876328303309168e-07	1.3852932832115753e-06
dealt	8.750531321323666e-06	3.878821192992411e-06
froward	6.56289849099275e-07	8.311759699269452e-07
severine	8.750531321323667e-07	2.7705865664231505e-07
txrb	2.1876328303309168e-07	5.541173132846301e-07
lmxypduw	2.1876328303309168e-07	8.311759699269452e-07
liittnyt	2.1876328303309168e-07	5.541173132846301e-07
pqn	2.1876328303309168e-07	8.311759699269452e-07
bsq	2.1876328303309168e-07	5.541173132846301e-07
embrock	4.3752656606618335e-07	2.7705865664231505e-07
collaborations	8.750531321323667e-07	1.1082346265692602e-06
ellipsometer	2.1876328303309168e-07	2.2164692531385204e-06
unacceptably	1.31257969819855e-06	2.7705865664231505e-07
hyperacidity	2.1876328303309168e-07	5.541173132846301e-07
wono	2.1876328303309168e-07	5.541173132846301e-07
hkrdoqb	2.1876328303309168e-07	5.541173132846301e-07
arnzhyiu	2.1876328303309168e-07	5.541173132846301e-07
neatthus	2.1876328303309168e-07	5.541173132846301e-07
meeker	3.0626859624632834e-06	5.541173132846301e-07
savvyvest	2.1876328303309168e-07	8.311759699269452e-07
parra	7.437951623125116e-06	8.311759699269452e-07
collaborator	2.1876328303309168e-07	1.6623519398538903e-06
futile	2.1876328303309168e-07	4.709997162919356e-06
bankruptcydata	4.3752656606618335e-07	2.7705865664231505e-07
ecosystem	8.750531321323667e-07	3.0476452230654656e-06
cmpltnss	1.0938164151654583e-06	2.7705865664231505e-07
phoebe	2.1876328303309168e-07	1.1082346265692602e-06
beed	2.1876328303309168e-07	5.541173132846301e-07
362125	4.3752656606618335e-07	2.7705865664231505e-07
bywxrkipk	2.1876328303309168e-07	5.541173132846301e-07
smripvbb	2.1876328303309168e-07	5.541173132846301e-07
qxyopsmbr	2.1876328303309168e-07	5.541173132846301e-07
7325	1.5313429812316417e-06	2.7705865664231505e-07
fortuneteller	2.1876328303309168e-07	5.541173132846301e-07
sfr	2.1876328303309168e-07	5.541173132846301e-07
ypei	2.1876328303309168e-07	5.541173132846301e-07
ljkadq	2.1876328303309168e-07	5.541173132846301e-07
ctc	7.000425057058934e-06	1.3852932832115753e-06
drive	6.934796072149006e-05	0.00018507518263706645
interconnects	8.531768038290574e-06	5.541173132846301e-07
simon	1.7501062642647333e-05	5.541173132846301e-06
registado	2.1876328303309168e-07	8.311759699269452e-07
prognosticating	4.3752656606618335e-07	2.7705865664231505e-07
blend	2.4063961133640083e-06	1.2190580892261862e-05
0002	4.3752656606618335e-07	1.9394105964962054e-06
inundated	6.56289849099275e-07	2.7705865664231505e-07
header	1.05006375855884e-05	3.878821192992411e-06
ilka	2.1876328303309168e-07	5.541173132846301e-07
zdqqfs	2.1876328303309168e-07	5.541173132846301e-07
nausea	4.3752656606618335e-07	3.6017625363500957e-06
mrgrahams	2.1876328303309168e-07	5.541173132846301e-07
vsannkaraoke	2.1876328303309168e-07	5.541173132846301e-07
1001	1.0938164151654583e-06	9.142935669196397e-06
500622	1.7501062642647334e-06	2.7705865664231505e-07
windshield	2.1876328303309168e-07	1.6623519398538903e-06
aflower	2.1876328303309168e-07	5.541173132846301e-07
harcourt	2.1876328303309168e-07	2.7705865664231505e-06
livraison	2.1876328303309168e-07	5.541173132846301e-07
ktxqe	2.1876328303309168e-07	5.541173132846301e-07
confirmit	8.750531321323667e-07	2.7705865664231505e-07
chanel	2.1876328303309168e-07	1.7731754025108163e-05
imprison	2.1876328303309168e-07	3.0476452230654656e-06
hvs	2.1876328303309168e-07	5.541173132846301e-07
ehmhhzbr	2.1876328303309168e-07	5.541173132846301e-07
elegir	2.1876328303309168e-07	5.541173132846301e-07
fixin	4.3752656606618335e-07	2.7705865664231505e-07
zrwagvgl	2.1876328303309168e-07	5.541173132846301e-07
reade	2.1876328303309168e-07	5.541173132846301e-07
mcpheeters	8.750531321323667e-07	2.7705865664231505e-07
datenfrequenz	1.5313429812316417e-06	2.7705865664231505e-07
markhunt	4.3752656606618335e-07	2.7705865664231505e-07
haskett	4.3752656606618335e-07	2.7705865664231505e-07
tangydijag	2.1876328303309168e-07	5.541173132846301e-07
pickup	1.0938164151654583e-06	7.480583729342507e-06
uiead	2.1876328303309168e-07	1.3021756862188807e-05
rehearse	2.1876328303309168e-07	5.541173132846301e-07
talliques	2.1876328303309168e-07	8.311759699269452e-07
